Table 8.10 Alberta claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"22,769.00","22,769.00","1,821.52"
2,"22,769.01","26,026.00","24,397.50","1,951.80"
3,"26,026.01","29,283.00","27,654.50","2,212.36"
4,"29,283.01","32,540.00","30,911.50","2,472.92"
5,"32,540.01","35,797.00","34,168.50","2,733.48"
6,"35,797.01","39,054.00","37,425.50","2,994.04"
7,"39,054.01","42,311.00","40,682.50","3,254.60"
8,"42,311.01","45,568.00","43,939.50","3,515.16"
9,"45,568.01","48,825.00","47,196.50","3,775.72"
10,"48,825.01","52,082.00","50,453.50","4,036.28"
