Table 8.11 British Columbia claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"13,216.00","13,216.00",668.73
2,"13,216.01","16,190.00","14,703.00",743.97
3,"16,190.01","19,164.00","17,677.00",894.46
4,"19,164.01","22,138.00","20,651.00","1,044.94"
5,"22,138.01","25,112.00","23,625.00","1,195.43"
6,"25,112.01","28,086.00","26,599.00","1,345.91"
7,"28,086.01","31,060.00","29,573.00","1,496.39"
8,"31,060.01","34,034.00","32,547.00","1,646.88"
9,"34,034.01","37,008.00","35,521.00","1,797.36"
10,"37,008.01","39,982.00","38,495.00","1,947.85"
