Table 8.9 Federal claim codes (using maximum BPAF),,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TC ($)","Option 1, K1 ($)"
0,No claim amount,No claim amount,0,0
1,0,"16,452.00","16,452.00","2,303.28"
2,"16,452.01","19,285.00","17,868.50","2,501.59"
3,"19,285.01","22,118.00","20,701.50","2,898.21"
4,"22,118.01","24,951.00","23,534.50","3,294.83"
5,"24,951.01","27,784.00","26,367.50","3,691.45"
6,"27,784.01","30,617.00","29,200.50","4,088.07"
7,"30,617.01","33,450.00","32,033.50","4,484.69"
8,"33,450.01","36,283.00","34,866.50","4,881.31"
9,"36,283.01","39,116.00","37,699.50","5,277.93"
10,"39,116.01","41,949.00","40,532.50","5,674.55"
