Table 8.12 Manitoba claim codes (Using maximum BPAMB),,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"15,780.00","15,780.00","1,704.24"
2,"15,780.01","17,473.00","16,626.50","1,795.66"
3,"17,473.01","19,166.00","18,319.50","1,978.51"
4,"19,166.01","20,859.00","20,012.50","2,161.35"
5,"20,859.01","22,552.00","21,705.50","2,344.19"
6,"22,552.01","24,245.00","23,398.50","2,527.04"
7,"24,245.01","25,938.00","25,091.50","2,709.88"
8,"25,938.01","27,631.00","26,784.50","2,892.73"
9,"27,631.01","29,324.00","28,477.50","3,075.57"
10,"29,324.01","31,017.00","30,170.50","3,258.41"
