Table 8.13 New Brunswick claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"13,664.00","13,664.00","1,284.42"
2,"13,664.01","16,461.00","15,062.50","1,415.88"
3,"16,461.01","19,258.00","17,859.50","1,678.79"
4,"19,258.01","22,055.00","20,656.50","1,941.71"
5,"22,055.01","24,852.00","23,453.50","2,204.63"
6,"24,852.01","27,649.00","26,250.50","2,467.55"
7,"27,649.01","30,446.00","29,047.50","2,730.47"
8,"30,446.01","33,243.00","31,844.50","2,993.38"
9,"33,243.01","36,040.00","34,641.50","3,256.30"
10,"36,040.01","38,837.00","37,438.50","3,519.22"
