Table 8.14 Newfoundland and Labrador claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"11,188.00","11,188.00",973.36
2,"11,188.01","13,604.00","12,396.00","1,078.45"
3,"13,604.01","16,020.00","14,812.00","1,288.64"
4,"16,020.01","18,436.00","17,228.00","1,498.84"
5,"18,436.01","20,852.00","19,644.00","1,709.03"
6,"20,852.01","23,268.00","22,060.00","1,919.22"
7,"23,268.01","25,684.00","24,476.00","2,129.41"
8,"25,684.01","28,100.00","26,892.00","2,339.60"
9,"28,100.01","30,516.00","29,308.00","2,549.80"
10,"30,516.01","32,932.00","31,724.00","2,759.99"
