Table 8.15 Nova Scotia claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"11,932.00","11,932.00","1,048.82"
2,"11,932.01","13,608.00","12,770.00","1,122.48"
3,"13,608.01","15,284.00","14,446.00","1,269.80"
4,"15,284.01","16,960.00","16,122.00","1,417.12"
5,"16,960.01","18,636.00","17,798.00","1,564.44"
6,"18,636.01","20,312.00","19,474.00","1,711.76"
7,"20,312.01","21,988.00","21,150.00","1,859.09"
8,"21,988.01","23,664.00","22,826.00","2,006.41"
9,"23,664.01","25,340.00","24,502.00","2,153.73"
10,"25,340.01","27,016.00","26,178.00","2,301.05"
