Table 8.16 Northwest Territories claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"18,198.00","18,198.00","1,073.68"
2,"18,198.01","21,327.00","19,762.50","1,165.99"
3,"21,327.01","24,456.00","22,891.50","1,350.60"
4,"24,456.01","27,585.00","26,020.50","1,535.21"
5,"27,585.01","30,714.00","29,149.50","1,719.82"
6,"30,714.01","33,843.00","32,278.50","1,904.43"
7,"33,843.01","36,972.00","35,407.50","2,089.04"
8,"36,972.01","40,101.00","38,536.50","2,273.65"
9,"40,101.01","43,230.00","41,665.50","2,458.26"
10,"43,230.01","46,359.00","44,794.50","2,642.88"
