Table 8.17 Nunavut claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"19,659.00","19,659.00",786.36
2,"19,659.01","22,838.00","21,248.50",849.94
3,"22,838.01","26,017.00","24,427.50",977.1
4,"26,017.01","29,196.00","27,606.50","1,104.26"
5,"29,196.01","32,375.00","30,785.50","1,231.42"
6,"32,375.01","35,554.00","33,964.50","1,358.58"
7,"35,554.01","38,733.00","37,143.50","1,485.74"
8,"38,733.01","41,912.00","40,322.50","1,612.90"
9,"41,912.01","45,091.00","43,501.50","1,740.06"
10,"45,091.01","48,270.00","46,680.50","1,867.22"
