Table 8.18 Ontario claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"12,989.00","12,989.00",655.94
2,"12,989.01","15,787.00","14,388.00",726.59
3,"15,787.01","18,585.00","17,186.00",867.89
4,"18,585.01","21,383.00","19,984.00","1,009.19"
5,"21,383.01","24,181.00","22,782.00","1,150.49"
6,"24,181.01","26,979.00","25,580.00","1,291.79"
7,"26,979.01","29,777.00","28,378.00","1,433.09"
8,"29,777.01","32,575.00","31,176.00","1,574.39"
9,"32,575.01","35,373.00","33,974.00","1,715.69"
10,"35,373.01","38,171.00","36,772.00","1,856.99"
