Table 8.19 Prince Edward Island claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"15,000.00","15,000.00","1,425.00"
2,"15,000.01","16,600.00","15,800.00","1,501.00"
3,"16,600.01","18,200.00","17,400.00","1,653.00"
4,"18,200.01","19,800.00","19,000.00","1,805.00"
5,"19,800.01","21,400.00","20,600.00","1,957.00"
6,"21,400.01","23,000.00","22,200.00","2,109.00"
7,"23,000.01","24,600.00","23,800.00","2,261.00"
8,"24,600.01","26,200.00","25,400.00","2,413.00"
9,"26,200.01","27,800.00","27,000.00","2,565.00"
10,"27,800.01","29,400.00","28,600.00","2,717.00"
