Table 8.20 Saskatchewan claim codes,,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"20,381.00","20,381.00","2,140.01"
2,"20,381.01","22,874.00","21,627.50","2,270.89"
3,"22,874.01","25,367.00","24,120.50","2,532.65"
4,"25,367.01","27,860.00","26,613.50","2,794.42"
5,"27,860.01","30,353.00","29,106.50","3,056.18"
6,"30,353.01","32,846.00","31,599.50","3,317.95"
7,"32,846.01","35,339.00","34,092.50","3,579.71"
8,"35,339.01","37,832.00","36,585.50","3,841.48"
9,"37,832.01","40,325.00","39,078.50","4,103.24"
10,"40,325.01","42,818.00","41,571.50","4,365.01"
