Table 8.21 Yukon Claim Codes (using maximum BPAYT),,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"16,452.00","16,452.00","1,052.93"
2,"16,452.01","19,285.00","17,868.50","1,143.58"
3,"19,285.01","22,118.00","20,701.50","1,324.90"
4,"22,118.01","24,951.00","23,534.50","1,506.21"
5,"24,951.01","27,784.00","26,367.50","1,687.52"
6,"27,784.01","30,617.00","29,200.50","1,868.83"
7,"30,617.01","33,450.00","32,033.50","2,050.14"
8,"33,450.01","36,283.00","34,866.50","2,231.46"
9,"36,283.01","39,116.00","37,699.50","2,412.77"
10,"39,116.01","41,949.00","40,532.50","2,594.08"
