Table 8.14 Newfoundland and Labrador claim codes (prorated),,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TCP ($)","Option 1, K1P ($)"
0,No claim amount,No claim amount,0,0
1,0,"15,000.00","15,000.00","1,305.00"
2,"15,000.01","17,416.00","16,208.00","1,410.10"
3,"17,416.01","19,832.00","18,624.00","1,620.29"
4,"19,832.01","22,248.00","21,040.00","1,830.48"
5,"22,248.01","24,664.00","23,456.00","2,040.67"
6,"24,664.01","27,080.00","25,872.00","2,250.86"
7,"27,080.01","29,496.00","28,288.00","2,461.06"
8,"29,496.01","31,912.00","30,704.00","2,671.25"
9,"31,912.01","34,328.00","33,120.00","2,881.44"
10,"34,328.01","36,744.00","35,536.00","3,091.63"
